"Nom","Identifiant","Type","Sous-type","Sous-type","Commune","Code postal","Code INSEE","Département","Région","Latitude","Longitude","Site internet","Créateur","Mise à jour","Mise à jour DATAtourisme"
"Gîtes de la Rochère - Le 161","HLOCEN037V50XE6B","Lieu","Hébergement","Hébergement locatif","Noizay","37210","37171","Indre-et-Loire","Centre-Val de Loire","47.4197102","0.8737121","https://www.la-rochere.eu/","OFFICE AMBOISE","2026-03-11T00:00:00.000Z","2026-03-12T05:07:08.660Z"
"AVT Séjours pour tous","112908","Lieu","Hébergement","Hébergement collectif","Saint-Maurice-en-Trièves","38930","38424","Isère","Auvergne-Rhône-Alpes","44.762925","5.659312","https://www.avt-sejours-pour-tous.fr/,https://avt-sejours-pour-tous.fr/","Office de Tourisme du Trièves","2026-02-26T00:00:00.000Z","2026-02-27T06:56:13.644Z"
"Auberge de l'Echauguette","7250909","Lieu","Restauration,Hébergement","Restaurant,Hôtellerie","Mont-Dauphin","05600","05082","Hautes-Alpes","Provence-Alpes-Côte d'Azur","44.669487","6.624064","https://www.auberge-echauguette.fr/","Office de tourisme du Guillestrois et du Queyras","2026-02-25T00:00:00.000Z","2026-02-26T06:52:39.782Z"
"Intersport Montagne","520326","Produit,Lieu","Location,Commerce de détail,Prestataire de service","Location de matériel,Loueur de matériel","Arvieux","05350","05007","Hautes-Alpes","Provence-Alpes-Côte d'Azur","44.780882","6.734894","http://www.intersport-arvieux.com/","Office de tourisme du Guillestrois et du Queyras","2026-03-28T00:00:00.000Z","2026-03-29T05:44:31.897Z"
"Le mas de l'Auzon","7676519","Lieu","Hébergement","Hébergement locatif","Carpentras","84200","84031","Vaucluse","Provence-Alpes-Côte d'Azur","44.05847","5.043402",,"Office de tourisme  Ventoux Provence Tourisme","2026-02-25T00:00:00.000Z","2026-02-26T06:52:39.784Z"
"Chez Paul et Pauline","HLOCHA051V50PUY7","Lieu","Hébergement","Hébergement locatif","Germaine","51160","51266","Marne","Grand Est","49.12846","4.02118","https://chezpauletpauline.fr/","Office de tourisme de Hautvillers - Coeur de la Champagne","2026-04-03T00:00:00.000Z","2026-04-08T03:04:55.593Z"
"Gîte les Vernelles","5995364","Lieu","Hébergement","Hébergement locatif","Saint-Aubin-le-Monial","03160","03218","Allier","Auvergne-Rhône-Alpes","46.530841","2.995074",,"Office de tourisme du Bocage bourbonnais","2026-02-26T00:00:00.000Z","2026-02-27T06:56:13.651Z"
"Bike Service activités","7696378","Produit","Pratique",,"Valaurie","26230","26360","Drôme","Auvergne-Rhône-Alpes","44.417672","4.802257","http://www.bike-service26.fr/","Office de Tourisme Communautaire Pays de Grignan et Enclave des Papes","2026-02-26T00:00:00.000Z","2026-04-01T07:14:59.385Z"
"Camping Domaine de Lallé - POD Le Milan Rouge","HLOAQU019V505Y6L","Lieu","Hébergement","Hébergement locatif","Champagnac-la-Noaille","19320","19039","Corrèze","Nouvelle-Aquitaine","45.30704","2.015167","https://booking.camping.care/domaine-de-lalle?arrival=2026-03-02&departure=2026-03-16&category=camp&guests=%5B%7B%22id%22%3A10038%2C%22count%22%3A2%7D%2C%7B%22id%22%3A10037%2C%22count%22%3A0%7D%5D&back_url=https%3A%2F%2Fdomainedelalle.fr%2Ffr&lang=fr,https://booking.camping.care/domaine-de-lalle?arrival=2026-03-02&departure=2026-03-16&category=camp&guests=%5B%7B%22id%22%3A10038%2C%22count%22%3A2%7D%2C%7B%22id%22%3A10037%2C%22count%22%3A0%7D%5D&back_url=https%3A%2F%2Fdomainedelalle.fr%2Ffr&lang=fr","Office de tourisme Ventadour Egletons Monédières","2026-03-08T00:00:00.000Z","2026-04-11T01:07:59.938Z"
"La Vie Sauvage","RESHDF000V5092DQ","Lieu","Restauration","Bar, bar à thème","Eppe-Sauvage","59132","59198","Nord","Hauts-de-France","50.12042","4.178882",,"Marquetteurs","2026-02-25T00:00:00.000Z","2026-02-26T23:11:10.235Z"
"Camping de Lallé - POD Le Coucou Gris","HLOAQU019V505Y6Q","Lieu","Hébergement","Hébergement locatif","Champagnac-la-Noaille","19320","19039","Corrèze","Nouvelle-Aquitaine","45.3074217","1.9720374","https://booking.camping.care/domaine-de-lalle?arrival=2026-03-02&departure=2026-03-16&category=camp&guests=%5B%7B%22id%22%3A10038%2C%22count%22%3A2%7D%2C%7B%22id%22%3A10037%2C%22count%22%3A0%7D%5D&back_url=https%3A%2F%2Fdomainedelalle.fr%2Ffr&lang=fr","Office de tourisme Ventadour Egletons Monédières","2026-03-08T00:00:00.000Z","2026-04-11T01:07:59.929Z"
"Camping Domaine de Lallé - POD Le Pic Vert","HLOAQU019V505Y6E","Lieu","Hébergement","Hébergement locatif","Champagnac-la-Noaille","19320","19039","Corrèze","Nouvelle-Aquitaine","45.30704","2.015167","https://booking.camping.care/domaine-de-lalle?arrival=2026-03-02&departure=2026-03-16&category=camp&guests=%5B%7B%22id%22%3A10038%2C%22count%22%3A2%7D%2C%7B%22id%22%3A10037%2C%22count%22%3A0%7D%5D&back_url=https%3A%2F%2Fdomainedelalle.fr%2Ffr%2Fle-camping&lang=fr","Office de tourisme Ventadour Egletons Monédières","2026-03-08T00:00:00.000Z","2026-04-11T01:07:59.928Z"
"Chambres d'hôtes La Beulière","HLOPDL072V510BM5","Lieu","Hébergement","Hébergement locatif","Saint-Christophe-du-Jambet","72170","72273","Sarthe","Pays de la Loire","48.229677","0.048245",,"OT des Alpes Mancelles","2026-03-27T00:00:00.000Z","2026-03-28T04:48:53.619Z"
"Le Nid du Coucou - Le Foudre Talbot","HLOAQU047V50NJXW","Lieu","Hébergement","Hébergement locatif","Cocumont","47250","47068","Lot-et-Garonne","Nouvelle-Aquitaine","44.4785208","0.04400749","https://www.gites-de-france-47.com/location-vacances-Chambre-d-hotes-a-Cocumont-Lot-et-garonne-47G2402.html?&insee=47068,https://www.gites-de-france-47.com/,https://www.lenidducoucou.com/,https://www.gites-de-france-47.com/location-vacances-Chambre-d-hotes-a-Cocumont-Lot-et-garonne-47G2402.html?&insee=47068,https://www.gites-de-france-47.com/,https://www.lenidducoucou.com/","OT Val de Garonne","2026-03-05T00:00:00.000Z","2026-04-11T01:25:52.238Z"
"Chambre d'hôte à Sartrouville, accueil vélo","7561091","Lieu","Hébergement","Hébergement locatif","Sartrouville","78500","78586","Yvelines","Île-de-France","48.937434","2.191596",,"Office de Tourisme Intercommunal de Saint Germain Boucles de Seine","2026-03-02T00:00:00.000Z","2026-03-03T08:53:46.781Z"
"L'Oustal de Papé, le calme au cœur de Mirepoix","6330114","Lieu","Hébergement","Hébergement locatif","Mirepoix","09500","09194","Ariège","Occitanie","43.088531","1.873532","https://oustal-mirepoix.fr/","Agence de Développement Touristique Ariège-Pyrénées","2026-03-02T00:00:00.000Z","2026-03-03T08:53:46.782Z"
"Brasserie Ardennaise de Haybes","DEGCHA0080000370","Produit","Pratique","Dégustation","Haybes","08170","08222","Ardennes","Grand Est","49.99351","4.743832",,"Ardennes Tourisme","2026-03-04T00:00:00.000Z","2026-03-04T22:13:54.677Z"
"Intersport Draguignan","7701425","Produit,Lieu","Location,Commerce de détail,Prestataire de service","Location de matériel,Loueur de matériel","Draguignan","83300","83050","Var","Provence-Alpes-Côte d'Azur","43.527198","6.452807","https://intersport-location-draguignan.com/fr,https://www.intersport.fr/","Office de tourisme intercommunal Dracénie Provence Verdon","2026-03-03T00:00:00.000Z","2026-03-04T06:56:27.181Z"
"Véloland Cognac REVbikes","7705987","Lieu","Commerce de détail",,"Châteaubernard","16100","16089","Charente","Nouvelle-Aquitaine","45.698864","-0.340849",,"Destination Cognac","2026-03-18T00:00:00.000Z","2026-03-19T06:58:54.718Z"
"Le Soleil Couchant","7699957","Lieu","Hébergement","Hébergement locatif","Vougy","42720","42338","Loire","Auvergne-Rhône-Alpes","46.111946","4.119444","https://www.gites-de-france-loire.com/fiche-hebergement-3408.html","Gîtes de France Loire","2026-03-05T00:00:00.000Z","2026-03-06T06:55:55.930Z"
"L'Oppidum","7605681","Lieu","Hébergement","Hébergement locatif","Châteauneuf-du-Rhône","26780","26085","Drôme","Auvergne-Rhône-Alpes","44.485132","4.716278",,"Montélimar Tourisme Agglomération","2026-03-11T00:00:00.000Z","2026-03-28T07:22:18.139Z"
"Rêve de Provence -L'Oliveraie","6825367","Lieu","Hébergement","Hébergement locatif","Saint-Saturnin-lès-Apt","84490","84118","Vaucluse","Provence-Alpes-Côte d'Azur","43.944357","5.362165","https://www.revedeprovence.fr/","Office de Tourisme Intercommunal Pays d’Apt Luberon","2026-03-05T00:00:00.000Z","2026-03-06T06:55:55.928Z"
"Rêve de Provence - L'escapade","6403093","Lieu","Hébergement","Hébergement locatif","Saint-Saturnin-lès-Apt","84490","84118","Vaucluse","Provence-Alpes-Côte d'Azur","43.944357","5.362165","https://www.revedeprovence.fr/","Office de Tourisme Intercommunal Pays d’Apt Luberon","2026-03-05T00:00:00.000Z","2026-03-06T06:55:55.927Z"
"NATURALBNB","7653242","Lieu","Hébergement","Hébergement locatif","Villeurbanne","69100","69266","Rhône","Auvergne-Rhône-Alpes","45.777595","4.883193","https://www.naturalbnb.com/","Lyon Tourisme et Congrès / ONLYLYON Tourisme","2026-03-10T00:00:00.000Z","2026-03-11T06:43:12.869Z"
"Domaine Marodi - Gîte Jasmin - 2 pers","7018568","Lieu","Hébergement","Hébergement locatif","Baignes-Sainte-Radegonde","16360","16025","Charente","Nouvelle-Aquitaine","45.382021","-0.234457","https://www.domainedemarodi.fr/bnb/bnb-1-1","Office de tourisme du Sud Charente","2026-03-24T00:00:00.000Z","2026-03-25T06:57:14.260Z"
"Domaine Marodi - Gîte Lavande - 2 pers","7018580","Lieu","Hébergement","Hébergement locatif","Baignes-Sainte-Radegonde","16360","16025","Charente","Nouvelle-Aquitaine","45.382021","-0.234457","https://www.domainedemarodi.fr/bnb/bnb-2-2","Office de tourisme du Sud Charente","2026-03-24T00:00:00.000Z","2026-03-25T06:57:14.252Z"
"L'Arborescence","7273734","Lieu","Restauration,Hébergement","Restaurant,Hôtellerie","Cruseilles","74350","74096","Haute-Savoie","Auvergne-Rhône-Alpes","46.037148","6.121333","https://www.arborescence-restaurant.fr/","Office de Tourisme des Monts du Genevois","2026-03-06T00:00:00.000Z","2026-03-07T06:56:52.660Z"
"Chambres d'hôtes - Maison Garesché","7246550","Lieu","Hébergement","Hébergement locatif","Nieulle-sur-Seudre","17600","17265","Charente-Maritime","Nouvelle-Aquitaine","45.752802","-1.00269","https://maison-garesche.fr/","Office de Tourisme de l'île d'Oléron et du bassin de Marennes","2026-03-28T00:00:00.000Z","2026-03-29T05:44:31.898Z"
"Les Gîtes Beaulieu - Gîte Brouage","5762055","Lieu","Hébergement","Hébergement locatif","La Gripperie-Saint-Symphorien","17620","17184","Charente-Maritime","Nouvelle-Aquitaine","45.807915","-0.956775","https://www.gitesbeaulieu.com/","Office de Tourisme Rochefort Océan","2026-03-12T00:00:00.000Z","2026-03-13T06:57:50.388Z"
"Cosy Studio en Provence","5713203","Lieu","Hébergement","Hébergement locatif","Carpentras","84200","84031","Vaucluse","Provence-Alpes-Côte d'Azur","44.049272","5.035827",,"Office de tourisme  Ventoux Provence Tourisme","2026-03-10T00:00:00.000Z","2026-03-11T06:43:12.868Z"
"Mama Shelter Lyon","7711854","Lieu","Restauration,Hébergement","Restaurant,Hôtellerie","Lyon 7e Arrondissement","69007","69387","Rhône","Auvergne-Rhône-Alpes","45.746947","4.845225","https://fr.mamashelter.com/lyon/","Lyon Tourisme et Congrès / ONLYLYON Tourisme","2026-03-10T00:00:00.000Z","2026-03-11T06:43:12.872Z"
